SCHEDULED CLASSES (EXACT MATCHES):
Scheduled: IT 326 - IOT Applications | Section 2A | Room [11, 13] | Emp 1 | Day Monday | Duration 120
REQUESTED: ST 407 - Software Testing | Section 3A | Room 78 | Emp 6 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: ST 407 - Software Testing | Section 3A | Room 202 | Emp 6 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: ACAD 408 - Advanced CAD | Section 3B | Room 184 | Emp 7 | Day ['Monday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: ACAD 408 - Advanced CAD | Section 3B | Room 203 | Emp 7 | Day ['Monday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: ROB 409 - Robotics | Section 3B | Room 185 | Emp 8 | Day ['Monday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: ROB 409 - Robotics | Section 3B | Room 205 | Emp 8 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: ROB 409 - Robotics | Section 3B | Room 205 | Emp 8 | Day Monday | Duration 90
REQUESTED: AE 410 - Advanced Electronics | Section 3B | Room 74 | Emp 9 | Day ['Monday'] | Duration 2:30
  -> SCHEDULED: AE 410 - Advanced Electronics | Section 3B | Room 74 | Emp 9 | Day Monday | Duration 150
REQUESTED: CS 411 - Control Systems | Section 3B | Room 186 | Emp 10 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: CS 411 - Control Systems | Section 3B | Room 186 | Emp 10 | Day Monday | Duration 60
REQUESTED: CS 411 - Control Systems | Section 3B | Room 206 | Emp 10 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: CS 411 - Control Systems | Section 3B | Room 206 | Emp 10 | Day Monday | Duration 60
REQUESTED: FM 412 - Fluid Mechanics | Section 3B | Room 187 | Emp 11 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: FM 412 - Fluid Mechanics | Section 3B | Room 187 | Emp 11 | Day Monday | Duration 90
REQUESTED: FM 412 - Fluid Mechanics | Section 3B | Room 207 | Emp 11 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: FM 412 - Fluid Mechanics | Section 3B | Room 207 | Emp 11 | Day Monday | Duration 90
REQUESTED: AT 413 - Advanced Thermodynamics | Section 3B | Room 208 | Emp 12 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: AT 413 - Advanced Thermodynamics | Section 3B | Room 208 | Emp 12 | Day Monday | Duration 120
REQUESTED: MT 414 - Manufacturing | Section 3B | Room 188 | Emp 13 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MT 414 - Manufacturing | Section 3B | Room 188 | Emp 13 | Day Monday | Duration 60
REQUESTED: MT 414 - Manufacturing | Section 3B | Room 209 | Emp 13 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: MT 414 - Manufacturing | Section 3B | Room 209 | Emp 13 | Day Monday | Duration 90
REQUESTED: EM 415 - Engineering Management | Section 3B | Room 210 | Emp 14 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: EM 415 - Engineering Management | Section 3B | Room 210 | Emp 14 | Day Monday | Duration 90
REQUESTED: AXL 416 - Advanced Excel | Section 3C | Room 189 | Emp 1 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: AXL 416 - Advanced Excel | Section 3C | Room 189 | Emp 1 | Day Monday | Duration 90
REQUESTED: AXL 416 - Advanced Excel | Section 3C | Room 211 | Emp 1 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: AXL 416 - Advanced Excel | Section 3C | Room 211 | Emp 1 | Day Monday | Duration 60
REQUESTED: BS 417 - Business Statistics | Section 3C | Room 212 | Emp 2 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: BS 417 - Business Statistics | Section 3C | Room 212 | Emp 2 | Day Monday | Duration 120
REQUESTED: BA 418 - Business Analytics | Section 3C | Room 193 | Emp 3 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: BA 418 - Business Analytics | Section 3C | Room 193 | Emp 3 | Day Monday | Duration 60
REQUESTED: BA 418 - Business Analytics | Section 3C | Room 213 | Emp 3 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: BA 418 - Business Analytics | Section 3C | Room 213 | Emp 3 | Day Monday | Duration 90
REQUESTED: AAC 419 - Advanced Accounting | Section 3C | Room 47 | Emp 4 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: AAC 419 - Advanced Accounting | Section 3C | Room 47 | Emp 4 | Day Monday | Duration 90
REQUESTED: AAC 419 - Advanced Accounting | Section 3C | Room 410 | Emp 4 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: AAC 419 - Advanced Accounting | Section 3C | Room 410 | Emp 4 | Day Monday | Duration 60
REQUESTED: IB 420 - International Business | Section 3C | Room 215 | Emp 5 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: IB 420 - International Business | Section 3C | Room 215 | Emp 5 | Day Monday | Duration 120
REQUESTED: DMK 421 - Digital Marketing | Section 3C | Room 30 | Emp 6 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: DMK 421 - Digital Marketing | Section 3C | Room 30 | Emp 6 | Day Monday | Duration 60
REQUESTED: DMK 421 - Digital Marketing | Section 3C | Room 216 | Emp 6 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: DMK 421 - Digital Marketing | Section 3C | Room 216 | Emp 6 | Day Monday | Duration 60
REQUESTED: BS 422 - Business Strategy | Section 3C | Room 217 | Emp 7 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: BS 422 - Business Strategy | Section 3C | Room 217 | Emp 7 | Day Monday | Duration 90
REQUESTED: FM 423 - Financial Modeling | Section 3C | Room 410 | Emp 8 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: FM 423 - Financial Modeling | Section 3C | Room 410 | Emp 8 | Day Monday | Duration 60
REQUESTED: FM 423 - Financial Modeling | Section 3C | Room 218 | Emp 8 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: FM 423 - Financial Modeling | Section 3C | Room 218 | Emp 8 | Day Monday | Duration 90
REQUESTED: ACH 424 - Advanced Chemistry | Section 3D | Room 9 | Emp 9 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: ACH 424 - Advanced Chemistry | Section 3D | Room 9 | Emp 9 | Day Monday | Duration 120
REQUESTED: ACH 424 - Advanced Chemistry | Section 3D | Room 219 | Emp 9 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: ACH 424 - Advanced Chemistry | Section 3D | Room 219 | Emp 9 | Day Monday | Duration 60
REQUESTED: MB 425 - Molecular Biology | Section 3D | Room 10 | Emp 10 | Day ['Monday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: MB 425 - Molecular Biology | Section 3D | Room 132 | Emp 10 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: MB 425 - Molecular Biology | Section 3D | Room 132 | Emp 10 | Day Monday | Duration 90
REQUESTED: QP 426 - Quantum Physics | Section 3D | Room 221 | Emp 11 | Day ['Monday'] | Duration 2:30
  -> UNSCHEDULED
REQUESTED: CS 427 - Climate Science | Section 3D | Room 267 | Emp 12 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: CS 427 - Climate Science | Section 3D | Room 267 | Emp 12 | Day Monday | Duration 60
REQUESTED: CS 427 - Climate Science | Section 3D | Room 222 | Emp 12 | Day ['Monday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: AC 428 - Advanced Calculus | Section 3D | Room 223 | Emp 13 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: AC 428 - Advanced Calculus | Section 3D | Room 223 | Emp 13 | Day Monday | Duration 90
REQUESTED: SE 429 - Seismology | Section 3D | Room 12 | Emp 14 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: SE 429 - Seismology | Section 3D | Room 12 | Emp 14 | Day Monday | Duration 60
REQUESTED: SE 429 - Seismology | Section 3D | Room 224 | Emp 14 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: SE 429 - Seismology | Section 3D | Room 224 | Emp 14 | Day Monday | Duration 90
REQUESTED: AS 430 - Astrophysics | Section 3D | Room 225 | Emp 1 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: AS 430 - Astrophysics | Section 3D | Room 225 | Emp 1 | Day Monday | Duration 120
REQUESTED: GN 431 - Genetics | Section 3D | Room 13 | Emp 2 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: GN 431 - Genetics | Section 3D | Room 13 | Emp 2 | Day Monday | Duration 90
REQUESTED: GN 431 - Genetics | Section 3D | Room 226 | Emp 2 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: GN 431 - Genetics | Section 3D | Room 226 | Emp 2 | Day Monday | Duration 60
REQUESTED: AR 432 - Art Criticism | Section 3E | Room 227 | Emp 3 | Day ['Monday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: AR 432 - Art Criticism | Section 3E | Room 228 | Emp 3 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: AR 432 - Art Criticism | Section 3E | Room 228 | Emp 3 | Day Monday | Duration 60
REQUESTED: CW 433 - Creative Writing | Section 3E | Room 229 | Emp 4 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: CW 433 - Creative Writing | Section 3E | Room 229 | Emp 4 | Day Monday | Duration 90
REQUESTED: MU 434 - Music Composition | Section 3E | Room 230 | Emp 5 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MU 434 - Music Composition | Section 3E | Room 230 | Emp 5 | Day Monday | Duration 60
REQUESTED: MU 434 - Music Composition | Section 3E | Room 233 | Emp 5 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: MU 434 - Music Composition | Section 3E | Room 233 | Emp 5 | Day Monday | Duration 90
REQUESTED: WH 435 - World History | Section 3E | Room 234 | Emp 6 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: WH 435 - World History | Section 3E | Room 234 | Emp 6 | Day Monday | Duration 120
REQUESTED: DR 436 - Theater Production | Section 3E | Room 235 | Emp 7 | Day ['Monday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: DR 436 - Theater Production | Section 3E | Room 236 | Emp 7 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: DR 436 - Theater Production | Section 3E | Room 236 | Emp 7 | Day Monday | Duration 60
REQUESTED: ETH 437 - Ethics | Section 3E | Room 237 | Emp 8 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: ETH 437 - Ethics | Section 3E | Room 237 | Emp 8 | Day Monday | Duration 60
REQUESTED: DP 438 - Photography Techniques | Section 3E | Room 238 | Emp 9 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: DP 438 - Photography Techniques | Section 3E | Room 238 | Emp 9 | Day Monday | Duration 90
REQUESTED: DP 438 - Photography Techniques | Section 3E | Room 239 | Emp 9 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: DP 438 - Photography Techniques | Section 3E | Room 239 | Emp 9 | Day Monday | Duration 60
REQUESTED: CA 439 - Cultural Anthropology | Section 3E | Room 240 | Emp 10 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: CA 439 - Cultural Anthropology | Section 3E | Room 240 | Emp 10 | Day Monday | Duration 120
